ask_price,ask_whole_lot_volume,ask_lot_volume,bid_price,bid_whole_lot_volume,bit_lot_volume,close_price,close_volume
37349.40000,7,7.000,37349.30000,1,1.000,37349.30000,0.00000012
37349.40000,7,7.000,37349.30000,1,1.000,37349.30000,0.00000012
37349.40000,8,8.000,37349.30000,1,1.000,37349.30000,0.00000012
37349.40000,10,10.000,37349.30000,1,1.000,37349.40000,0.00343188
37349.40000,8,8.000,37349.30000,1,1.000,37349.40000,0.00343188
37349.30000,3,3.000,37315.30000,1,1.000,37349.30000,0.00002952
37349.40000,8,8.000,37349.30000,1,1.000,37349.40000,0.00032990
37349.30000,3,3.000,37315.30000,1,1.000,37349.30000,0.00002952
37308.70000,1,1.000,37302.60000,1,1.000,37305.70000,0.00040460
37309.80000,1,1.000,37302.50000,1,1.000,37308.80000,0.11570100
37309.80000,1,1.000,37302.50000,1,1.000,37308.80000,0.11570100
37305.70000,1,1.000,37304.40000,1,1.000,37308.80000,0.11570100
37300.80000,1,1.000,37300.70000,1,1.000,37300.70000,0.00000006
37300.80000,1,1.000,37285.30000,1,1.000,37302.60000,0.02640767
37304.90000,2,2.000,37297.70000,1,1.000,37300.80000,0.00443889
37305.70000,1,1.000,37297.60000,1,1.000,37300.50000,0.00223730
37302.30000,1,1.000,37291.40000,1,1.000,37300.50000,0.00223730
37305.70000,1,1.000,37297.60000,1,1.000,37300.50000,0.00223730
37305.10000,1,1.000,37297.60000,1,1.000,37300.50000,0.00223730
37299.90000,1,1.000,37298.10000,1,1.000,37297.60000,0.00010709
37310.00000,1,1.000,37309.90000,5,5.000,37310.00000,0.04000000
37310.00000,1,1.000,37309.90000,4,4.000,37310.00000,0.04000000
37310.00000,1,1.000,37309.90000,3,3.000,37310.00000,0.20942061
37310.00000,1,1.000,37309.90000,6,6.000,37310.00000,0.20942061
37310.00000,1,1.000,37309.90000,6,6.000,37310.00000,0.20942061
37348.60000,1,1.000,37348.50000,3,3.000,37345.60000,0.04020369
37310.00000,1,1.000,37309.90000,11,11.000,37310.00000,0.01916040
37350.30000,1,1.000,37350.20000,4,4.000,37345.60000,0.04020369
37350.30000,1,1.000,37350.20000,6,6.000,37350.30000,0.00056605
37350.30000,1,1.000,37350.20000,6,6.000,37350.30000,0.00056605
37409.70000,1,1.000,37402.40000,1,1.000,37420.50000,0.00702762
37418.20000,1,1.000,37410.50000,1,1.000,37420.50000,0.00702762
37419.30000,1,1.000,37405.30000,1,1.000,37401.70000,0.04016031
37419.30000,1,1.000,37402.30000,1,1.000,37401.70000,0.04016031
37401.90000,5,5.000,37401.80000,1,1.000,37401.70000,0.04016031
37393.80000,1,1.000,37386.50000,1,1.000,37401.70000,0.04016031
